SEARCHES,PQ,HP
9321,1,2
328,2,2
8039,2,2
9968,1,4
1269,4,2
5047,4,2
1299,5,2
5547,4,3
7356,4,3
1005,9,2
2699,7,3
2001,8,2
4877,7,2
2944,8,3
2386,10,2
4045,8,3
618,16,2
1960,13,2
1231,16,2
3861,9,4
4926,7,4
1012,19,2
9206,3,4
8787,4,5
5520,8,3
3966,13,2
3239,15,2
2499,18,3
5432,9,4
112,30,2
8565,5,4
1628,24,3
7537,7,5
1494,26,3
26,35,2
3858,18,3
5151,12,3
3302,20,3
6249,9,4
9883,2,6
83,40,2
8670,6,3
3796,23,2
8049,8,4
2974,27,2
109,44,2
4655,20,3
4056,21,3
882,43,2
5253,16,3
